0 249
1 249.91126387
2 252.120218223
3 257.542806473
4 271.225732282
5 307.533953511
6 402.955300717
7 531.536403346
8 566.388973433
9 569.594144276
10 569.836707597
11 569.854779719
12 569.856101541
13 569.856211063
14 569.856229124
15 569.856225903
16 569.856218612
17 569.856215894
18 569.856215804
19 569.856215714
20 569.856215623
21 569.856215533
22 569.856215443
23 569.856215353
24 569.856215262
25 569.856215172
26 569.856215082
27 569.856214992
28 569.856214901
29 569.856214811
30 569.856214721
